nome_oficial,nome_estadio,imagem,id_estadio,local,uf_estadio,capacidade
Estádio Governador Virgílio Távora,Mirandão,,mirandao-ce,Crato - CE,CE,10.000
Estádio Presidente Vargas,Presidente Vargas,https://futebolcearense.com.br/adm/fotosavulsas/imagens/thumb_09062017142104-1687.jpg,presidentevargas-ce,Fortaleza - CE,CE,20.268
Estádio Maria de Lourdes Abadia,Abadião,https://s2-ge.glbimg.com/2sVeImGd8zIOnFZ3fkR1bLgEGjo=/0x0:1920x1080/984x0/smart/filters:strip_icc()/i.s3.glbimg.com/v1/AUTH_bc8228b6673f488aa253bbcb03c80ec5/internal_photos/bs/2025/X/7/wMyBiqQGSBArxtoiOV6g/crd-abadiao-dorne-drone-2-.mp4-frame-0.jpeg,abadiao-df,Ceilândia - DF,DF,5.000
Estádio Adonir José Guimarães,Adonir Guimarães,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEgmaq5VyVj_-TtTM-o3Z2vxxl9jeVY8a6jm4znstj7F90XEsQYr1aNwLz09de5ELuwJ9pDfkeUgEZJGRawYgbiQePmG58AJ6N2iY3QQKMsuUQRXfAN1sbFm8xDbJ9DA4S5wK2wIWx2h8G0/s1600/Adonir+Guimar%25C3%25A3es.jpg,adonirguimaraes-df,Planaltina - DF,DF,6.000
Estádio Augustinho Pires de Lima,Augustinho Lima,https://s2-ge.glbimg.com/-DFefJhnxMqh6_4XjdxGThkjKXA=/0x0:1280x959/984x0/smart/filters:strip_icc()/s.glbimg.com/es/ge/f/original/2018/03/04/galeria385_040318_121545_2.jpg,augustinholima-df,Sobradinho - DF,DF,15.000
Estádio Valmir Campelo Bezerra,Bezerrão,https://www.esporte.df.gov.br/documents/4951812/8433683/19.07-Estadio-Bezerrao-4.jpg,bezerrao-df,Gama - DF,DF,20.310
Estádio Ciro Machado do Espírito Santo,Defelê,https://upload.wikimedia.org/wikipedia/commons/7/71/Estadio_defele.jpg?utm_source=pt.wikipedia.org&utm_campaign=index&utm_content=original,defele-df,Brasília - DF,DF,1.000
Estádio Juscelino Kubitschek,Estádio JK,https://i.metroimg.com/Z-F4N5WC-Co6hlkV63mi1CWFLQhaQCyZyyLFulYPEoo/rs:fill:1200:800:1/g:no/q:85/f:webp/plain/https://images.metroimg.com/2025/11/21104436/estadiosdf_jk_luisnova_7.jpg,estadiojk-df,Paranoá - DF,DF,5.500
Estádio Nacional de Brasília Mané Garrincha,Mané Garrincha,https://images.adsttc.com/media/images/5746/b78c/e58e/cebb/9600/01e9/large_jpg/001_%C2%A9_Bento_Viana_BV_2238.jpg?1464252277,manegarrincha-df,Brasília - DF,DF,72.788
Estádio Vasco Viana de Andrade,Metropoliana,https://assets.candangol.com.br/stadiums/metropolitana/avatar.webp,metropoliana-df,Núcleo Bandeirante - DF,DF,3.000
